ShoulderWidth,Waist,Hips,TotalHeight,BodyShape
36.48,66.46,98.58,157.57,Pear
46.28,74.16,86.71,168.75,Inverted Triangle
43.64,66.96,89.04,159.19,Hourglass
46.01,72.87,84.89,174.89,Inverted Triangle
44.89,66.03,87.94,157.6,Hourglass
43.2,63.93,94.1,167.91,Hourglass
39.55,71.53,87.67,162.69,Hourglass
40.08,67.85,89.09,168.42,Hourglass
38.61,68.49,92.46,164.04,Pear
44.51,76.43,90.4,173.38,Inverted Triangle
44.34,67.58,89.28,167.25,Hourglass
45.56,65.52,95.84,169.41,Hourglass
42.63,75.08,85.91,163.21,Rectangle
41.07,69.98,90.68,162.65,Hourglass
43.53,66.25,90.02,168.22,Hourglass
42.07,82.71,84.43,172.03,Rectangle
44.99,75.38,88.68,170.6,Inverted Triangle
42.09,62.19,95.86,160.85,Hourglass
38.29,81.55,84.44,164.88,Rectangle
39.27,70.16,96.53,168.69,Pear
36.04,68.61,94.0,179.34,Pear
43.14,75.04,78.0,174.93,Rectangle
37.27,67.32,97.38,167.65,Pear
37.89,72.78,93.13,162.45,Pear
41.81,66.73,93.93,164.04,Hourglass
48.88,73.82,84.31,170.77,Inverted Triangle
46.73,61.12,93.5,162.85,Hourglass
39.07,69.51,96.08,169.69,Pear
39.99,61.63,95.09,165.93,Hourglass
44.56,75.18,90.66,163.83,Inverted Triangle
41.31,76.68,88.63,167.36,Inverted Triangle
49.74,77.21,84.82,166.04,Inverted Triangle
36.02,68.62,96.93,158.86,Pear
45.13,75.32,89.08,168.53,Inverted Triangle
45.45,78.69,89.0,173.4,Inverted Triangle
40.88,84.54,89.28,166.03,Rectangle
36.54,74.74,97.25,167.46,Pear
43.82,81.98,90.44,168.31,Inverted Triangle
45.63,70.72,94.66,163.85,Inverted Triangle
45.66,67.13,93.26,163.07,Hourglass
36.01,70.36,95.73,162.2,Pear
38.81,70.89,97.53,167.99,Pear
42.81,67.58,94.29,166.77,Hourglass
44.91,80.3,87.84,167.07,Inverted Triangle
46.67,73.16,88.94,166.35,Inverted Triangle
48.33,71.11,88.35,169.22,Inverted Triangle
41.2,80.9,81.4,168.39,Rectangle
37.87,72.32,94.22,161.22,Pear
44.74,73.46,85.22,171.06,Inverted Triangle
43.42,68.66,89.36,160.32,Hourglass
37.56,67.21,98.21,165.73,Pear
40.08,77.82,94.6,158.58,Pear
47.06,79.12,89.0,168.63,Inverted Triangle
37.64,75.24,92.6,165.56,Pear
42.31,81.74,79.95,159.53,Rectangle
47.77,73.8,90.55,159.92,Inverted Triangle
38.91,75.61,83.53,167.4,Rectangle
45.27,67.21,93.65,163.57,Hourglass
38.36,68.78,93.55,163.47,Pear
37.21,70.45,90.82,160.95,Pear
41.27,80.62,80.97,167.79,Rectangle
37.45,71.81,96.21,167.12,Pear
41.91,75.65,96.77,161.93,Pear
43.26,76.5,83.09,170.2,Rectangle
44.28,74.78,89.89,165.35,Inverted Triangle
36.87,75.04,92.15,166.06,Pear
42.6,72.82,90.76,170.42,Inverted Triangle
38.97,71.21,92.66,165.89,Pear
46.72,73.65,91.94,169.91,Inverted Triangle
45.79,72.21,93.55,170.59,Inverted Triangle
36.87,70.62,99.41,166.59,Pear
45.68,76.27,84.89,174.81,Inverted Triangle
36.9,70.95,95.58,159.36,Pear
47.41,80.0,87.32,169.26,Inverted Triangle
37.62,70.71,93.91,162.23,Pear
44.94,80.38,87.75,170.61,Inverted Triangle
34.55,68.38,95.48,166.06,Pear
35.07,73.19,96.86,158.71,Pear
44.34,69.46,88.89,163.76,Inverted Triangle
42.82,85.1,81.34,169.7,Rectangle
45.82,71.46,93.68,163.62,Inverted Triangle
40.64,78.88,79.6,159.62,Rectangle
38.46,70.79,96.64,158.04,Pear
37.96,73.71,97.12,167.89,Pear
43.79,78.43,85.13,171.33,Inverted Triangle
40.91,80.37,87.5,159.37,Rectangle
41.49,75.48,96.36,161.33,Pear
43.79,66.38,87.91,159.0,Hourglass
43.74,77.42,86.39,164.01,Inverted Triangle
42.47,82.42,82.63,169.71,Rectangle
42.75,85.74,84.68,171.22,Rectangle
44.25,85.67,80.2,164.72,Rectangle
41.87,66.06,97.39,167.83,Hourglass
45.06,71.63,86.23,171.56,Inverted Triangle
45.16,78.23,85.76,172.44,Inverted Triangle
34.96,72.43,91.5,169.67,Pear
47.1,67.81,97.55,161.91,Hourglass
44.23,64.4,92.66,161.69,Hourglass
45.16,81.84,77.54,176.21,Rectangle
41.79,79.72,74.39,162.72,Rectangle
40.47,72.2,95.93,162.89,Pear
43.89,80.64,84.56,173.8,Rectangle
43.86,77.73,85.52,171.51,Inverted Triangle
43.1,74.41,93.2,171.23,Inverted Triangle
43.8,71.54,87.24,170.05,Inverted Triangle
47.58,73.19,86.42,165.32,Inverted Triangle
37.39,74.48,91.78,165.89,Pear
39.02,72.72,92.99,172.03,Pear
36.75,72.52,99.06,171.53,Pear
36.5,77.62,84.8,165.37,Rectangle
37.41,68.38,90.44,163.07,Pear
41.03,80.6,83.01,164.02,Rectangle
38.61,67.36,94.21,164.63,Pear
36.67,74.32,93.09,167.13,Pear
46.17,76.72,85.37,157.85,Inverted Triangle
39.74,80.07,77.97,169.82,Rectangle
42.24,66.42,94.04,161.28,Hourglass
44.83,71.55,87.26,164.77,Inverted Triangle
42.44,66.89,90.25,167.48,Hourglass
43.4,80.57,83.87,167.4,Rectangle
42.94,64.21,91.73,166.54,Hourglass
45.45,77.98,87.8,173.87,Inverted Triangle
44.41,76.72,91.33,174.11,Inverted Triangle
39.25,69.44,94.69,172.13,Pear
38.23,63.79,99.33,161.72,Pear
43.64,78.16,84.87,171.35,Inverted Triangle
42.47,67.01,90.72,164.75,Hourglass
42.01,69.5,95.45,165.53,Hourglass
42.95,74.17,85.45,166.51,Inverted Triangle
42.81,76.98,81.65,162.55,Rectangle
39.66,76.54,83.85,169.02,Rectangle
39.34,80.51,83.36,171.18,Rectangle
45.82,61.17,92.96,160.98,Hourglass
38.91,64.22,89.97,154.34,Pear
35.42,73.92,97.19,158.29,Pear
43.02,80.87,82.19,168.18,Rectangle
41.86,77.62,81.6,172.04,Rectangle
49.04,74.73,86.43,161.84,Inverted Triangle
41.69,78.24,81.93,173.19,Rectangle
41.07,64.4,90.22,158.38,Hourglass
41.03,82.1,78.84,166.8,Rectangle
40.58,72.67,94.83,161.56,Pear
44.83,67.55,93.61,154.95,Hourglass
42.2,68.05,93.9,168.81,Hourglass
44.43,68.95,94.81,163.62,Hourglass
41.78,65.29,96.28,161.09,Hourglass
37.44,70.54,92.65,160.8,Pear
44.61,71.49,84.97,168.45,Inverted Triangle
40.81,68.11,92.02,164.03,Hourglass
45.12,77.46,85.4,163.06,Rectangle
42.37,83.33,82.44,170.01,Rectangle
40.8,69.58,98.5,162.9,Pear
43.89,71.91,85.21,168.5,Inverted Triangle
44.22,81.78,77.03,167.1,Rectangle
42.77,75.79,88.16,167.82,Inverted Triangle
40.92,68.94,91.6,162.82,Hourglass
44.46,74.53,85.08,171.44,Inverted Triangle
38.62,62.5,92.89,167.88,Hourglass
43.59,73.2,85.61,166.44,Inverted Triangle
41.28,67.96,94.69,165.31,Hourglass
46.93,75.08,89.22,169.0,Inverted Triangle
41.43,67.97,88.05,169.63,Hourglass
42.92,77.63,91.3,171.27,Inverted Triangle
45.44,76.74,84.91,163.32,Rectangle
43.74,71.82,90.75,170.52,Inverted Triangle
43.01,77.76,89.49,163.69,Inverted Triangle
43.96,80.95,79.94,162.12,Rectangle
35.44,73.55,95.89,164.13,Pear
37.82,75.63,93.7,165.41,Pear
45.59,76.99,94.84,163.41,Inverted Triangle
47.41,76.89,91.22,164.2,Inverted Triangle
41.71,84.47,89.33,164.76,Rectangle
42.7,59.0,92.19,165.96,Hourglass
37.18,72.15,96.38,167.05,Pear
38.36,67.35,94.07,165.06,Pear
40.24,72.01,95.07,159.91,Pear
44.17,70.17,96.44,176.41,Inverted Triangle
43.9,76.41,89.41,168.32,Inverted Triangle
44.22,76.44,91.23,174.16,Inverted Triangle
41.46,78.23,83.04,173.55,Rectangle
43.62,62.42,93.37,163.22,Hourglass
42.74,77.07,76.29,169.61,Rectangle
42.23,76.24,84.4,173.32,Rectangle
42.71,68.88,90.69,162.12,Hourglass
40.88,80.19,80.62,167.17,Rectangle
47.02,73.98,86.54,161.2,Inverted Triangle
42.93,84.77,83.32,176.08,Rectangle
46.67,75.38,94.54,173.02,Inverted Triangle
42.53,85.12,86.01,170.7,Rectangle
43.56,74.65,89.36,167.1,Inverted Triangle
36.86,72.1,95.13,174.04,Pear
41.77,77.96,75.24,169.9,Rectangle
45.68,72.28,95.17,164.71,Inverted Triangle
36.43,71.97,95.55,173.17,Pear
40.23,68.7,94.13,170.81,Pear
44.39,74.33,89.82,168.99,Inverted Triangle
45.88,63.37,93.18,161.48,Hourglass
37.13,73.55,96.83,161.21,Pear
41.2,80.0,79.15,166.53,Rectangle
41.74,82.7,81.49,163.43,Rectangle
44.17,82.35,81.7,166.45,Rectangle
39.15,81.58,83.6,172.65,Rectangle
40.99,68.65,95.42,167.27,Pear
48.53,69.81,87.9,168.54,Inverted Triangle
